BCR,CD40,IL21_4,STAT,Syk,PI3K,BTK,CBM,TRAF6,NEMO_IKK,RelA_p50,IRF4,RAF,Erk,BCL6,Blimp1,cMyc,AID,BCL2,ID
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,1,0
0,1,1,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,0
1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,0
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,0
0,0,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,1
0,0,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,1
0,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,1
0,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,1
1,0,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,1
1,0,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,1
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,1
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
0,1,0,0,0,0,0,0,1,2,2,2,0,1,0,0,0,0,1,2
0,1,1,1,0,0,0,0,1,2,2,2,0,1,0,1,0,0,1,2
1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,2
1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,2
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,2
1,1,1,1,1,0,1,1,1,2,2,2,1,1,0,1,0,0,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3
0,1,0,0,0,0,0,0,1,2,2,2,0,0,1,0,1,0,1,3
0,1,1,1,0,0,0,0,1,2,2,2,0,0,1,0,1,1,1,3
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,3
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,3
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,1,0,1,3
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,1,1,1,3
0,0,0,0,0,0,0,0,1,2,2,2,0,0,1,0,0,0,0,4
0,0,1,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,4
0,1,0,0,0,0,0,0,1,2,2,2,0,0,1,0,0,0,0,4
0,1,1,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,4
1,0,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,4
1,0,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,4
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,4
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5
0,1,0,0,0,0,0,0,1,2,2,2,0,0,1,0,0,0,0,5
0,1,1,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,5
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,5
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,5
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,5
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,5
1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,6
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,6
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,6
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,6
0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,7
0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,7
0,1,0,0,0,0,0,1,1,2,2,2,0,0,1,0,0,0,0,7
0,1,1,1,0,0,0,1,1,2,2,2,0,0,1,0,0,1,0,7
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,7
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,7
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,7
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,7
0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8
0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8
0,1,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,8
0,1,1,1,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,8
1,0,0,0,1,0,1,1,0,1,0,2,1,1,1,0,0,0,0,8
1,0,1,1,1,0,1,1,0,1,0,2,1,0,1,0,0,0,0,8
1,1,0,0,1,0,1,1,1,2,0,2,1,1,1,0,0,0,0,8
1,1,1,1,1,0,1,1,1,2,0,2,1,0,1,0,0,0,0,8
1,0,0,0,1,0,1,1,0,2,2,2,1,1,0,0,1,0,1,9
1,0,1,1,1,0,1,1,0,2,2,2,1,0,0,0,1,1,1,9
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,1,0,1,9
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,0,1,1,1,9
0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,1,10
0,0,1,1,0,0,0,1,0,1,2,2,0,0,0,0,0,1,1,10
0,1,0,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,1,10
0,1,1,1,0,0,0,1,1,2,2,2,0,0,0,0,0,1,1,10
1,0,0,0,1,0,1,1,0,1,2,2,1,1,0,0,0,0,1,10
1,0,1,1,1,0,1,1,0,1,2,2,1,0,0,0,0,1,1,10
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,10
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,0,0,1,1,10
0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,1,11
0,0,1,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,11
0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,1,11
0,1,1,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,11
1,0,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,11
1,0,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,11
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,11
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,12
0,1,0,0,0,0,0,0,1,2,2,2,0,0,1,0,1,0,1,12
0,1,1,1,0,0,0,0,1,2,2,2,0,0,1,0,1,1,1,12
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,12
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,12
